select,topic_num,name,meaning,keywords
no,10,plantronics,topic 10: (primarily) high praises for the plantronics brand,"0.062*""plantronic"" + 0.037*""pro"" + 0.033*""voyager"" + 0.033*""model"" + 0.025*""time"" + 0.025*""year"" + 0.024*""jawbone"" + 0.022*""bose"" + 0.019*""feature"" + 0.018*""case"""
no,11,not_sure,topic 11: not sure about meaning,"0.079*""unit"" + 0.059*""quality"" + 0.055*""pretty"" + 0.040*""nice"" + 0.033*""comfortable"" + 0.028*""bit"" + 0.026*""make"" + 0.025*""time"" + 0.025*""long"" + 0.024*""feel"""
no,12,jabra,topic 12: for the jabra brand,"0.110*""device"" + 0.077*""jabra"" + 0.040*""pair"" + 0.019*""easy"" + 0.019*""find"" + 0.018*""instruction"" + 0.016*""computer"" + 0.015*""simple"" + 0.014*""include"" + 0.011*""pc"""
yes,13,charging,"topic 13: everything related to charging the headset: cables, charging speed, through car-charger, on-the-go charger","0.094*""charge"" + 0.045*""usb"" + 0.041*""charger"" + 0.040*""cable"" + 0.032*""plug"" + 0.029*""case"" + 0.028*""include"" + 0.028*""light"" + 0.017*""adapter"" + 0.016*""small"""
yes,14,audio_performance,"topic 14: experience (not just soundwise) listening to music, audiobooks, video","0.155*""music"" + 0.089*""listen"" + 0.046*""audio"" + 0.039*""phone"" + 0.030*""stereo"" + 0.025*""pair"" + 0.025*""play"" + 0.024*""call"" + 0.023*""quality"" + 0.020*""device"""
no,15,not_sure,topic 15: not sure about meaning,"0.088*""iphone"" + 0.059*""earpiece"" + 0.048*""easy"" + 0.042*""turn"" + 0.037*""work"" + 0.035*""pair"" + 0.031*""easily"" + 0.028*""time"" + 0.027*""switch"" + 0.026*""make"""
yes,16,voice_command,topic 16: Quality of voice command functionality/app for making calls and answering phones,"0.120*""call"" + 0.090*""voice"" + 0.070*""phone"" + 0.037*""feature"" + 0.029*""answer"" + 0.024*""button"" + 0.021*""app"" + 0.021*""command"" + 0.014*""number"" + 0.012*""turn"""
yes,17,transaction_experience,"topic 17: Customer service experience related to shipping, return, replacement","0.046*""product"" + 0.032*""review"" + 0.031*""purchase"" + 0.030*""update"" + 0.029*""return"" + 0.027*""amazon"" + 0.026*""month"" + 0.025*""order"" + 0.024*""item"" + 0.023*""back"""
yes,18,active_lifestyle,"topic 18: Usability in a active/sports setting, such as during running and gym workout","0.071*""earbud"" + 0.051*""run"" + 0.036*""cord"" + 0.033*""wire"" + 0.030*""neck"" + 0.026*""gym"" + 0.020*""earphone"" + 0.018*""sweat"" + 0.018*""bud"" + 0.015*""stay"""
yes,19,battery,"topic 19: Quality of battery e.g. talk time on full charge, battery indicator, deteriation over time","0.170*""battery"" + 0.103*""hour"" + 0.085*""life"" + 0.073*""time"" + 0.071*""day"" + 0.064*""charge"" + 0.040*""long"" + 0.025*""talk"" + 0.018*""low"" + 0.016*""minute"""
